Trial1,Trial2,Trial3,,
0.852626483,0.912096902,0.990113443,"
","
"
0.832818149,0.894201039,0.988825646,,
0.812926089,0.8763568,0.967576564,,
0.792956945,0.858599217,0.94617207,,
0.772917299,0.845718555,0.924639093,,
0.752813754,0.832965371,0.90300072,,
0.732653024,0.820266572,0.881277456,,
0.712442005,0.807506346,0.85948791,,
0.692187849,0.793057685,0.837649127,,
0.671898032,0.77342741,0.815776767,,
0.651580413,0.749308897,0.793885319,,
0.631243293,0.730961634,0.771988456,,
0.610075534,0.712632174,0.750099631,,
0.588652623,0.694721447,0.728232993,,
0.567248864,0.676754545,0.706404734,,
0.545874043,0.65873777,0.684635132,,
0.524538583,0.640680352,0.662951812,,
0.50325363,0.622593963,0.641395227,,
0.482031162,0.604572126,0.620028045,,
0.460884178,0.586739797,0.598950059,,
0.439827004,0.568899161,0.578314335,,
0.418875811,0.551066399,0.558312574,,
0.398049509,0.533260371,0.539047653,,
0.377371301,0.515505947,0.52031786,,
0.356871449,0.502730431,0.501721646,,
0.336592228,0.489551114,0.479463233,,
0.316596375,0.477498046,0.46404959,,
0.296978378,0.465598885,0.444500689,,
0.277824771,0.453805014,0.42463702,,
0.258957007,0.442195962,0.404652942,,
0.240491116,0.430912161,0.384529175,,
0.221159513,0.414876523,0.364378313,,
0.2015551,0.399140416,0.344273225,,
0.18164181,0.383629908,0.324268618,,
0.161599406,0.368291755,0.30441408,,
0.141623368,0.353100113,0.284762571,,
0.125630142,0.34083563,0.265376016,,
0.109660971,0.326722661,0.246324649,,
0.093754628,0.312744819,0.227667855,,
0.07825467,0.299753432,0.209403919,,
0.063687372,0.287399335,0.191423895,,
0.049447612,0.274683078,0.173566503,,
0.035673509,0.261958828,0.155769501,,
0.022360007,0.249502102,0.139230716,,
0.009207044,0.236508886,0.12258227,,
-0.004149173,0.225458175,0.105891829,,
-0.017792865,0.214730764,0.08991597,,
-0.031595023,0.20511355,0.073715607,,
-0.040186757,0.195835302,0.05863967,,
-0.044934714,0.185773504,0.043784668,,
-0.050283352,0.175908557,0.029135237,,
-0.060697049,0.165802688,0.014692243,,
-0.070816721,0.155275301,0.000477145,,
-0.080670389,0.14462683,-0.013496357,,
