Trial1,Trial2,Trial3,,
0.940937569,0.990174984,0.917864292,"
","
"
0.939225988,0.99183046,0.915481039,,
0.937522033,0.993508443,0.913647745,,
0.935840193,0.995206598,0.914175928,,
0.934195154,0.996922287,0.916016773,,
0.932601719,0.998652237,0.914824706,,
0.931074316,0.999608062,0.915659345,,
0.929625785,0.997865376,0.914005268,,
0.928265234,0.998460938,0.911932287,,
0.926995119,0.999849535,0.909415784,,
0.925808314,0.997067816,0.906583193,,
0.924686772,0.993523849,0.903560948,,
0.923603403,0.994990472,0.900431371,,
0.922527516,0.996588836,0.897243265,,
0.921431915,0.998316447,0.894026428,,
0.920298564,0.999853713,0.890800878,,
0.919120734,0.997952952,0.88758211,,
0.917901818,0.996008773,0.884384276,,
0.916652426,0.994043943,0.881222443,,
0.915387448,0.992077768,0.87811452,,
0.914123991,0.990127441,0.875083067,,
0.91288049,0.988208797,0.872156714,,
0.911676919,0.986336224,0.869370001,,
0.910536004,0.984521593,0.866758965,,
0.909485173,0.982772165,0.864348648,,
0.908558308,0.981087995,0.862132007,,
0.907794134,0.979460688,0.860052127,,
0.907224417,0.978774408,0.85800995,,
0.903565864,0.982719812,0.855900729,,
0.90027546,0.987186234,0.853648761,,
0.897414374,0.99176955,0.851216118,,
0.895126333,0.995672407,0.848593605,,
0.893642392,0.998599797,0.845789875,,
0.893188963,0.996540752,0.842823706,,
0.893892599,0.994245608,0.839718482,,
0.894543068,0.991823234,0.83649819,,
0.895442986,0.989291056,0.83318493,,
0.896470704,0.986663149,0.829797756,,
0.897387401,0.983951787,0.826352456,,
0.898043653,0.98116788,0.822861832,,
0.89845234,0.978321171,0.819336176,,
0.89869973,0.975420364,0.815783772,,
0.898869419,0.972473245,0.812211343,,
0.899021722,0.96948679,0.808624427,,
0.899196578,0.966467277,0.80502768,,
0.899419898,0.963420377,0.801425108,,
0.899708151,0.960351256,0.79782026,,
0.900071027,0.957264646,0.794216373,,
0.900512908,0.954164926,0.790616497,,
0.901033911,0.951056178,0.787023595,,
0.901631117,0.947942246,0.783440636,,
0.902300319,0.944826769,0.779870674,,
0.903038326,0.941713216,0.776316935,,
0.903845592,0.938604902,0.7727829,,
0.904729003,0.935504996,0.769272404,,
0.905705113,0.932416519,0.765789761,,
0.906805201,0.929342338,0.762339913,,
0.909431853,0.92628516,0.758928579,,
0.911631728,0.923247529,0.755562209,,
0.918176385,0.920231831,0.752247225,,
