Trial1,Trial2,Trial3,
0.7872272,0.934486731,0.966417996,"
"
0.780881077,0.944786852,0.97198092,
0.774645018,0.95039604,0.977495456,
0.768438475,0.95038915,0.983021325,
0.761594533,0.949027845,0.98834369,
0.754502294,0.953632242,0.993032333,
0.7472137,0.958242826,0.997681698,
0.73986449,0.963305945,0.997702731,
0.732947394,0.96841608,0.993834115,
0.726345825,0.973577929,0.989540481,
0.720144326,0.978793189,0.985259517,
0.714265161,0.983688459,0.981269309,
0.708499034,0.989183108,0.977826578,
0.702723156,0.994699647,0.973502771,
0.696854068,0.999767333,0.969123077,
0.690885629,0.994221481,0.963660761,
0.684910646,0.988662014,0.958059907,
0.679016038,0.982529968,0.952249952,
0.673261378,0.976884708,0.946508,
0.667636702,0.971173247,0.940806679,
0.662115172,0.965352688,0.935132628,
0.656645434,0.959366564,0.929479286,
0.651086133,0.952933973,0.924703065,
0.645578702,0.946251158,0.919904344,
0.63965344,0.939340251,0.915294942,
0.633790951,0.932303798,0.910571074,
0.626989524,0.925538828,0.905573868,
0.620237142,0.918875862,0.900208855,
0.613732283,0.912326852,0.892965225,
0.607661773,0.905971859,0.887246313,
0.601872128,0.899663286,0.881545364,
0.596623848,0.893514482,0.875855156,
0.591217317,0.887374366,0.870174887,
0.585761557,0.881228006,0.864505603,
0.580132757,0.875092187,0.858848427,
0.574134613,0.869237946,0.853203888,
0.567553396,0.863360621,0.847571749,
0.560330989,0.857458269,0.841951077,
0.553455337,0.85153074,0.836340432,
0.547342387,0.845579344,0.830738097,
0.541905442,0.840446102,0.825142309,
0.536491936,0.835296865,0.819571925,
0.531358298,0.830134427,0.814021308,
0.527130639,0.824961983,0.808911296,
0.523004331,0.81978278,0.804210938,
0.519029853,0.81459973,0.799544592,
0.516347325,0.809415007,0.794912315,
0.513771087,0.804229629,0.790314015,
0.509518083,0.799043058,0.785749388,
0.505338201,0.793852796,0.781310641,
0.501268907,0.788653985,0.776868736,
0.496858934,0.783099119,0.772459614,
0.492459106,0.777638904,0.768092679,
0.488212568,0.772046359,0.763765563,
0.483541726,0.766464906,0.759530696,
0.478981122,0.760831229,0.755101778,
0.474437193,0.755188591,0.750706957,
0.469909109,0.7495294,0.746300068,
0.465608376,0.743852824,0.742001434,
0.461415743,0.738166276,0.737748332,
0.457294354,0.732483714,0.733537965,
0.453237541,0.726819805,0.72936751,
0.449245794,0.721181282,0.725234145,
0.445321475,0.71555887,0.721135071,
0.441467314,0.70992386,0.717067541,
0.437685677,0.704233692,0.713028888,
0.434060318,0.698450784,0.709016548,
0.430511422,0.692572089,0.705028084,
0.427037459,0.686652912,0.701061201,
0.424334681,0.680803332,0.697113766,
0.421693509,0.67513129,0.693183809,
0.419010657,0.669648248,0.689269526,
0.416501161,0.663994989,0.68536928,
0.414055563,0.658517855,0.681481587,
0.411541243,0.652605851,0.677417602,
0.409208473,0.647145017,0.67281665,
0.406915688,0.641211714,0.668644484,
0.404659401,0.635366012,0.66450084,
0.40243646,0.629842317,0.660372723,
0.400244033,0.624399438,0.656596401,
0.398444726,0.619044784,0.652832519,
0.396672464,0.613787317,0.649079981,
0.395017457,0.608636367,0.645337803,
0.393385179,0.603600727,0.641605092,
0.391773821,0.598688046,0.637881014,
0.389666423,0.594336214,0.634164771,
0.387591768,0.590465047,0.630455573,
0.38554876,0.586778911,0.626752625,
0.384007441,0.583147645,0.623055105,
0.382480051,0.579566374,0.619362161,
0.380965009,0.576030136,0.615647262,
0.378961241,0.572233689,0.611944199,
0.376980776,0.568494028,0.608251742,
0.375023182,0.564805736,0.604568648,
0.373088048,0.561164128,0.600893688,
0.371174979,0.5575653,0.597670172,
0.369283596,0.554006133,0.594452964,
0.367413537,0.550484268,0.591528005,
0.365564456,0.546998046,0.588620983,
0.363736024,0.54354641,0.585731161,
0.361927931,0.539931384,0.582857886,
0.36013989,0.536379067,0.580000589,
0.358371631,0.532888802,0.577158786,
0.356622909,0.529459822,0.57433207,
0.3548935,0.526091077,0.571736438,
0.353183204,0.522781076,0.569161509,
0.351491837,0.519527727,0.566607037,
0.349819239,0.516328153,0.56407284,
0.348188782,0.513178475,0.561558795,
0.34696964,0.510073501,0.559064827,
0.345773106,0.507006297,0.556590903,
0.344598741,0.503967577,0.554137021,
0.343446114,0.50094496,0.551728219,
0.34231479,0.497922326,0.549339617,
0.34120433,0.494880168,0.546977616,
0.340114287,0.491798974,0.544641685,
0.339044199,0.488668654,0.542331316,
0.337993588,0.485504232,0.540046017,
0.336961959,0.482358247,0.537785319,
0.335948792,0.479314346,0.535548768,
0.334953545,0.476461181,0.533335929,
0.333975652,0.473858851,0.531146383,
0.333014525,0.471510128,0.528979727,
0.332069548,0.469369295,0.526835567,
0.331140084,0.467381175,0.524713522,
0.330225475,0.46550253,0.522613218,
0.329325041,0.463703349,0.520534283,
0.328438085,0.461963111,0.518476349,
0.327563893,0.460267633,0.516439048,
0.326701737,0.458607017,0.514422003,
0.325850879,0.456974305,0.512424836,
0.325010571,0.455097395,0.510447155,
0.324180061,0.453139383,0.508488561,
0.323358593,0.451204631,0.506548639,
0.322545412,0.449290828,0.50462696,
0.321497906,0.44739613,0.502723082,
0.320458222,0.445519004,0.500836543,
0.319425942,0.443658128,0.498966867,
0.318400731,0.441812319,0.49711356,
0.317382335,0.439874888,0.495276111,
0.316707543,0.437955556,0.493453992,
0.316040898,0.436053444,0.49164666,
0.315382344,0.434167695,0.489853557,
0.314731878,0.43229746,0.488074109,
0.314089533,0.430441897,0.486307729,
0.313455366,0.428600167,0.484553817,
0.312829444,0.426771433,0.482811761,
0.312211826,0.424954856,0.480953377,
0.311602553,0.4231496,0.479108795,
0.31100163,0.421354826,0.477277143,
0.310080915,0.419569697,0.475457539,
0.309169895,0.417793376,0.473649096,
0.308268622,0.416025024,0.471774474,
0.307575855,0.414150754,0.469909845,
0.306885834,0.412290802,0.468054198,
0.305791888,0.410444376,0.466187876,
0.304708813,0.408610692,0.46433039,
0.303636427,0.406788973,0.462489125,
0.302019427,0.404978447,0.460661655,
0.300416664,0.403178349,0.458847208,
0.2991916,0.401387917,0.457045011,
0.297984787,0.399606393,0.455331134,
0.296795837,0.397833022,0.453628395,
0.295624393,0.396067057,0.451936106,
0.294470137,0.394307754,0.450253575,
0.293332793,0.392554377,0.448697328,
0.292212136,0.390806199,0.447149683,
0.29110799,0.389062506,0.445610122,
0.290020228,0.387322596,0.444078124,
0.288948776,0.385585787,0.44255316,
0.287893605,0.383851419,0.4410347,
0.286854731,0.382496121,0.439548198,
0.285832207,0.381149755,0.43807478,
