Trial1,Trial2,Trial3,
0.936438545,0.967472261,0.968338011,"
"
0.939694269,0.97196611,0.977817438,
0.94295895,0.975892171,0.987350993,
0.946234202,0.979760987,0.996954686,
0.949521753,0.983573353,0.994139993,
0.952823494,0.98733995,0.984175304,
0.956141563,0.991061665,0.974880147,
0.959666386,0.994739191,0.965056189,
0.963190089,0.998373069,0.956060195,
0.966716921,0.998036231,0.946101769,
0.970251932,0.99448823,0.936015347,
0.973801151,0.99098244,0.925788693,
0.977371762,0.981565119,0.915226894,
0.980972244,0.97239389,0.904637252,
0.984612409,0.963604344,0.894015506,
0.988303234,0.955367567,0.883365674,
0.992056374,0.952377709,0.873170968,
0.995987414,0.949558643,0.863125652,
0.999949591,0.94689111,0.853135131,
0.994958637,0.944351351,0.843235328,
0.989827545,0.941913173,0.833806313,
0.985574907,0.939549758,0.824559446,
0.981188434,0.937235634,0.815508696,
0.97600158,0.934948271,0.806657096,
0.970724915,0.932668832,0.797997808,
0.965869154,0.930382113,0.789516174,
0.960990896,0.928076009,0.781192145,
0.956100726,0.925740825,0.77180918,
0.951209817,0.923368642,0.762867846,
0.946329794,0.9209528,0.753757521,
0.94147197,0.918487525,0.745668364,
0.936646305,0.915896071,0.737660018,
0.931860505,0.912747372,0.729721716,
0.927119569,0.910039761,0.721844629,
0.92178865,0.907282162,0.714188007,
0.916956767,0.904010809,0.706888549,
0.912350577,0.900703192,0.699668169,
0.907755312,0.897356972,0.692525179,
0.903165637,0.893970478,0.685458524,
0.899459036,0.890674271,0.678467476,
0.895767918,0.887248451,0.671551487,
0.892049505,0.88355688,0.664710066,
0.888329648,0.879874871,0.657942536,
0.884603406,0.876204577,0.651328271,
0.880957346,0.872548031,0.644882119,
0.876748658,0.868907034,0.638485096,
0.872340615,0.865283074,0.632102495,
0.867958662,0.86167727,0.625766201,
0.863602014,0.858090361,0.619247716,
0.859271104,0.854522712,0.613135656,
0.854967629,0.850974345,0.607081693,
0.851086576,0.846763614,0.601615144,
0.846804914,0.84396383,0.596222514,
0.842594312,0.841610492,0.590901231,
0.838460803,0.839289954,0.58564889,
0.834410921,0.837000378,0.579674745,
0.830451438,0.834739992,0.573768377,
0.826589144,0.832507103,0.567927004,
0.822830651,0.830300111,0.562147815,
0.81918214,0.827853194,0.557110141,
0.81557941,0.825455653,0.552123284,
0.812801464,0.823105189,0.547183864,
0.810147676,0.820799647,0.542288498,
0.807612318,0.818537014,0.537433789,
0.805287525,0.816315421,0.532121746,
0.803004869,0.814133141,0.526395008,
0.800761156,0.811988575,0.520737128,
0.798552833,0.809880243,0.515143256,
0.796376047,0.807806768,0.509608547,
0.794226708,0.805766855,0.504950801,
0.792100556,0.803759271,0.500345181,
0.789993221,0.801782827,0.495787282,
0.787775991,0.799836353,0.491272751,
0.785574961,0.797918677,0.486797301,
0.783388181,0.796028608,0.482356736,
0.781213685,0.794164919,0.477946973,
0.779049479,0.792326329,0.473564061,
0.776893535,0.790511493,0.469204212,
0.774743785,0.788718988,0.464863834,
0.77259811,0.786947309,0.460539571,
0.770454339,0.785194862,0.456179805,
0.76848175,0.783459956,0.451943428,
0.766073488,0.78174081,0.447728479,
