Trial1,Trial2,Trial3,,
0.9244532,0.826124846,0.974070536,"
","
"
0.93952637,0.815866645,0.961692035,,
0.954917949,0.805630509,0.949239588,,
0.970615179,0.795386797,0.936772879,,
0.986584642,0.785102861,0.924366067,,
0.997214506,0.774760606,0.912112866,,
0.980821864,0.764360816,0.900125319,,
0.964272149,0.753918265,0.888511867,,
0.949738037,0.743456736,0.877317745,,
0.934682745,0.728021114,0.866450679,,
0.919303837,0.720202579,0.856093357,,
0.903844001,0.71348538,0.846205562,,
0.888551992,0.708266068,0.836287566,,
0.873640851,0.704373129,0.826267713,,
0.859247042,0.694846828,0.816179003,,
0.842049295,0.684148783,0.806050251,,
0.824821632,0.673481342,0.7958873,,
0.807584345,0.662906098,0.785684289,,
0.790359355,0.652519192,0.775434797,,
0.773170113,0.642529667,0.765133757,,
0.756040056,0.634533144,0.754773562,,
0.738988596,0.626055952,0.744340838,,
0.722024777,0.616574166,0.733817247,,
0.70514208,0.607721434,0.723183694,,
0.688321404,0.598675524,0.712425069,,
0.675405691,0.589515388,0.701532778,,
0.662578228,0.580312399,0.690504217,,
0.649966527,0.571114373,0.679340308,,
0.637613312,0.561952139,0.668043054,,
0.625514998,0.552847081,0.65661448,,
0.613710028,0.543816307,0.64505715,,
0.59735338,0.534876223,0.633375567,,
0.581087455,0.526045694,0.621577442,,
0.564835185,0.517349922,0.609674185,,
0.548529732,0.508826579,0.597680541,,
0.532153155,0.500536353,0.58561381,,
0.515746116,0.495822676,0.573493502,,
0.499394073,0.491354412,0.561342963,,
0.483718612,0.486851243,0.549381663,,
0.469059669,0.481827538,0.541519865,,
0.454836164,0.473790046,0.530640647,,
0.440821346,0.465700919,0.522269107,,
0.427005359,0.457696524,0.512321538,,
0.413455791,0.449834693,0.508608693,,
0.399931767,0.442150062,0.503555198,,
0.386237745,0.434670663,0.495293278,,
0.372405145,0.427423701,0.483753039,,
0.358531866,0.420814724,0.473991643,,
0.34475084,0.414684213,0.46423397,,
0.328552858,0.408914579,0.454502647,,
0.318802821,0.403516662,0.444818642,,
0.310550598,0.399300812,0.435202417,,
0.303301084,0.395486682,0.425673657,,
0.293222674,0.392168842,0.416250567,,
0.278966708,0.389360173,0.406948886,,
0.264521266,0.388543319,0.397780627,,
0.249950517,0.385251591,0.388752714,,
0.235297283,0.38254287,0.379865795,,
0.22059281,0.377982966,0.371113661,,
0.205865,0.380858018,0.362483698,,
0.191143275,0.384869611,0.353958589,,
0.176460599,0.386052213,0.345519047,,
0.161854724,0.390359138,0.337146997,,
0.147370821,0.396296718,0.328828384,,
0.133068023,0.400918562,0.320555025,,
0.119034022,0.405081107,0.31236325,,
0.109579397,0.40891321,0.304444267,,
0.096820733,0.410882085,0.296599028,,
0.084492652,0.410225059,0.28879198,,
0.072380975,0.409799363,0.28103059,,
0.059795663,0.411306796,0.273336732,,
0.048180274,0.413276748,0.265740915,,
0.037405581,0.412665131,0.25913036,,
0.027429329,0.412956116,0.252581088,,
0.017956935,0.412440369,0.246203217,,
0.008687173,0.411566984,0.24009975,,
-0.000586872,0.410674577,0.234364711,,
-0.005568012,0.425646005,0.229286459,,
-0.00278299,0.439383162,0.223182598,,
-0.00600472,0.453628057,0.217465778,,
-0.013437731,0.464580331,0.209346239,,
-0.021709498,0.478640287,0.21000044,,
-0.028456129,0.49532949,0.214721676,,
-0.032530917,0.510195222,0.219556659,,
-0.034594529,0.519455447,0.217335621,,
-0.036096269,0.524799127,0.215316437,,
-0.040373537,0.527806316,0.214685477,,
-0.045128328,0.527825029,0.215540085,,
-0.049423822,0.523738658,0.217910552,,
-0.052489546,0.52359051,0.224523727,,
-0.054626297,0.522801739,0.230689289,,
-0.05693354,0.521124861,0.239375448,,
-0.059275988,0.518443109,0.246813068,,
-0.061180181,0.514614611,0.253229076,,
-0.062807808,0.510464002,0.259136389,,
-0.064057856,0.506266065,0.262751824,,
-0.063110089,0.50202151,0.266269783,,
-0.059545346,0.499910572,0.270679579,,
-0.054836836,0.497747285,0.27593699,,
-0.050880833,0.495427548,0.282035313,,
-0.04754032,0.492881686,0.295128895,,
-0.044230743,0.488131902,0.311708029,,
-0.040458037,0.484987008,0.334763225,,
-0.038517703,0.48155626,0.363648885,,
-0.036426806,0.480457264,0.381133744,,
-0.031553922,0.478813526,0.384409603,,
-0.024170798,0.475163506,0.388302314,,
-0.014273658,0.46813321,0.393336708,,
-0.010966972,0.466071507,0.402841504,,
-0.002801889,0.466707835,0.414839987,,
0.005318348,0.469302772,0.428579645,,
0.012663814,0.470733778,0.442197781,,
0.015492258,0.472011192,0.449715515,,
0.01773832,0.472230227,0.459575665,,
0.017771559,0.473042664,0.481605416,,
0.021004628,0.477495209,0.503332205,,
0.032005563,0.481314071,0.521238007,,
0.041730384,0.486281578,0.544493342,,
0.058318981,0.491172,0.561702415,,
0.076207902,0.498088388,0.578464855,,
0.090966351,0.503210767,0.592115973,,
0.106332215,0.514316348,0.601988487,,
0.121842434,0.526294729,0.608459655,,
0.136521618,0.538239668,0.629739003,,
0.153538697,0.540688685,0.651526616,,
0.171561366,0.545090925,0.665238551,,
0.187639248,0.549318792,0.684882921,,
0.201603729,0.557787254,0.702937167,,
0.218723797,0.567740297,0.717100415,,
0.236325809,0.577024699,0.72002066,,
0.254201103,0.585127752,0.721102032,,
0.276937886,0.593291435,0.72028396,,
0.297323821,0.598016862,0.725612442,,
0.320566269,0.601874752,0.72776606,,
0.348349556,0.60761368,0.729407405,,
0.377173592,0.608264014,0.731097869,,
0.408229254,0.614168136,0.733116226,,
0.432881798,0.618066045,0.739165397,,
0.452862059,0.617873747,0.740022726,,
0.473605451,0.620161305,0.740371835,,
0.505658345,0.626971702,0.740198311,,
0.528000848,0.63149499,0.73961954,,
0.556760247,0.641526765,0.738971759,,
0.578018003,0.646194243,0.738534738,,
0.590449924,0.644012317,0.740295265,,
0.607727661,0.638869713,0.738743764,,
0.631053422,0.632509465,0.737828363,,
0.649222416,0.635331896,0.736579195,,
0.651777864,0.628729579,0.73263661,,
0.653784342,0.622018612,0.73111596,,
0.680781338,0.617049246,0.724880842,,
0.692406466,0.612565073,0.717227155,,
0.699992024,0.607357006,0.712026288,,
0.711308719,0.601074778,0.708739149,,
0.722727902,0.597291232,0.704979466,,
0.738084816,0.597957683,0.700011616,,
0.757154918,0.598683749,0.690447645,,
0.770978283,0.598887589,0.683908206,,
0.782604624,0.59798382,0.678384134,,
0.793091799,0.595163667,0.677790849,,
0.805557478,0.590618051,0.67631099,,
0.819049114,0.586315649,0.677917499,,
0.833241497,0.583939405,0.672568319,,
0.844783156,0.587552186,0.669469424,,
0.855081078,0.597956504,0.667165112,,
0.86466365,0.60008323,0.664438392,,
0.871525354,0.602217467,0.65709328,,
0.886592652,0.606212265,0.652155566,,
0.89694257,0.607855545,0.645780582,,
0.901426224,0.608111689,0.640004229,,
0.905372011,0.613551342,0.64222441,,
0.909584971,0.607741994,0.640693264,,
0.913229131,0.602579564,0.647565165,,
0.922094856,0.59803667,0.642619843,,
0.936435398,0.597852856,0.639998288,,
0.9465971,0.598414175,0.63658801,,
0.954806584,0.597783893,0.633239284,,
0.964664365,0.595590451,0.63092698,,
0.974470068,0.590252447,0.63105004,,
0.982083184,0.584304803,0.63451801,,
0.990189311,0.576483924,0.638729569,,
0.992908329,0.572691297,0.643571084,,
0.992852265,0.581222299,0.647024321,,
0.995657457,0.581984008,0.653854231,,
0.997558084,0.58072757,0.658532193,,
0.997133188,0.584434601,0.660188341,,
0.998921233,0.59016375,0.668190867,,
0.994440173,0.596531993,0.673439832,,
0.996083688,0.59921249,0.680545166,,
0.999197044,0.600759387,0.696377946,,
0.994296698,0.601896783,0.705216421,,
0.989939565,0.604887205,0.714234444,,
0.98552812,0.602641325,0.711988243,,
0.979667671,0.601179278,0.707940922,,
0.972467942,0.602288389,0.706221917,,
0.962655993,0.604293682,0.701311784,,
0.950572219,0.611282681,0.697953356,,
0.940875277,0.621833115,0.690975652,,
0.930694282,0.622762213,0.684373073,,
0.920067894,0.631775212,0.681445346,,
0.909034778,0.635997905,0.680523763,,
0.897638797,0.641942555,0.67926507,,
0.885939648,0.646111945,0.678067776,,
0.874038075,0.647721253,0.677676395,,
0.862116337,0.658336081,0.681062505,,
0.850435376,0.667342263,0.679527639,,
0.839076197,0.680240903,0.680981978,,
