Trial1,Trial2,Trial3
0.961197458,0.882685046,0.969819972
0.937858814,0.908442551,0.993781916
0.91441964,0.934270627,0.982241906
0.890895378,0.960159223,0.958127108
0.867309018,0.986098406,0.933988788
0.843686468,0.987921567,0.909854662
0.820056425,0.961867113,0.885729818
0.796451507,0.935791342,0.861619225
0.772887416,0.909703486,0.837527739
0.749451638,0.883612312,0.813460092
0.726208964,0.857530044,0.789420886
0.703350441,0.83154984,0.765414564
0.680451874,0.805786422,0.741444833
0.65718673,0.780026511,0.717502808
0.633804008,0.754274471,0.693605423
0.610325239,0.728534134,0.66975548
0.587933886,0.702808396,0.64594892
0.565394234,0.67709782,0.622190405
0.542710164,0.651398289,0.598521996
0.520607768,0.625698804,0.574902209
0.498438203,0.599981646,0.551339429
0.476211416,0.574226853,0.528104088
0.453933746,0.549147305,0.505060905
0.431609673,0.524427252,0.482123981
0.409242917,0.499597317,0.45990921
0.38683712,0.474670307,0.437641851
0.364396213,0.449660536,0.415492303
0.341924591,0.424579971,0.393577553
0.319427124,0.399814772,0.373811572
0.296900614,0.376029573,0.35384801
0.274283557,0.352424824,0.332634916
0.251655715,0.328802088,0.311687087
0.229092798,0.305177891,0.291007082
0.20656274,0.281573591,0.269483977
0.184021656,0.258027421,0.248182909
0.161529763,0.235046595,0.227227667
0.139039845,0.212507886,0.206562908
0.116548275,0.189975204,0.186317913
0.094048913,0.167428421,0.165200403
0.07153321,0.144901949,0.146859063
0.049186465,0.122403218,0.129562992
0.026786018,0.099939902,0.115389064
0.00428734,0.07752088,0.097941793
-0.01815376,0.055147304,0.08170252
-0.038516139,0.032838464,0.064852265
-0.058069069,0.010622652,0.046638928
-0.077674465,-0.010000803,0.028017298
-0.09691028,-0.030521237,0.009253961
-0.114397163,-0.05095779,-0.009530994
-0.131540764,-0.07130547,-0.028185477
-0.148636432,-0.091553988,-0.046676246
-0.165301321,-0.110854669,-0.064794778
-0.181811692,-0.129093182,-0.082439452
-0.198252838,-0.147198317,-0.099262972
-0.214026747,-0.165165174,-0.116332881
-0.228662761,-0.182984553,-0.133172272
-0.243171077,-0.200630741,-0.149668631
-0.257478497,-0.21800328,-0.165370251
-0.271633054,-0.233618771,-0.180184049
-0.285531243,-0.247771829,-0.194567869
-0.299119687,-0.261767821,-0.208189474
-0.312360166,-0.275601575,-0.220045548
-0.325250983,-0.288918762,-0.230407093
-0.337814239,-0.300996782,-0.23875672
-0.350020815,-0.312892066,-0.245910427
-0.362013621,-0.324582801,-0.253843822
-0.373452398,-0.33602772,-0.259773002
-0.383834815,-0.347172379,-0.263924371
-0.393271546,-0.357794192,-0.264918897
-0.402344468,-0.367448314,-0.26506149
-0.411374398,-0.375336798,-0.263938575
-0.420373514,-0.380535509,-0.257939743
-0.427451374,-0.386192637,-0.249724252
-0.433341131,-0.392734336,-0.248081697
-0.436422222,-0.398233774,-0.249363264
-0.438690096,-0.397410614,-0.25151168
-0.43888407,-0.395469932,-0.253284428
-0.435622091,-0.399116788,-0.251826919
-0.427891765,-0.398410423,-0.24838482
-0.422938195,-0.394184962,-0.246625759
-0.419161558,-0.390298803,-0.247525694
-0.408370303,-0.389958545,-0.249539126
-0.396701457,-0.387485639,-0.251648766
-0.38644467,-0.38042628,-0.251102331
-0.364065179,-0.382129636,-0.250987063
-0.343762408,-0.387187747,-0.251354353
-0.335256164,-0.393063457,-0.252372915
-0.325583514,-0.398273528,-0.25431367
-0.316473089,-0.401788778,-0.252776991
-0.311280834,-0.401379085,-0.249852512
-0.309551856,-0.397873688,-0.246374951
-0.307861714,-0.393471741,-0.238184416
-0.304577894,-0.389680429,-0.233722876
-0.298799798,-0.386571649,-0.232398973
-0.285414632,-0.383064989,-0.22995747
-0.263641591,-0.378560182,-0.227111028
-0.247039225,-0.372586414,-0.223100327
-0.237007734,-0.36586016,-0.216628938
-0.22252931,-0.358397309,-0.210382554
-0.205569635,-0.350709382,-0.203164058
-0.191758312,-0.327466904,-0.194840462
-0.182009019,-0.300531389,-0.180816886
-0.172332571,-0.282047598,-0.169898491
-0.161876379,-0.266155959,-0.155428432
-0.148634381,-0.257291094,-0.140957737
-0.131087418,-0.24618722,-0.128898345
-0.11055221,-0.230942928,-0.111045378
-0.09052879,-0.216535606,-0.090654281
-0.071163358,-0.206374101,-0.068232309
-0.052483053,-0.194018373,-0.053946973
-0.038761764,-0.17770721,-0.044001819
-0.027777136,-0.147410661,-0.030252883
-0.018291342,-0.120758564,-0.005473139
-0.003495584,-0.086888506,0.010753905
0.02146947,-0.062692621,0.024772433
0.038902968,-0.037415344,0.043842938
0.060011012,-0.022401777,0.071572974
0.081644755,0.000583852,0.10372815
0.107726808,0.024687979,0.140084848
0.127255703,0.05375165,0.163246103
0.141874744,0.069330935,0.1750219
0.153934208,0.087005929,0.186054087
0.167377915,0.113163346,0.19905428
0.179796142,0.151058026,0.219192604
0.193277966,0.178082884,0.243138393
0.206441401,0.217364099,0.267366458
0.221369561,0.25694866,0.283004737
0.237224085,0.290171309,0.294121411
0.254157196,0.314328661,0.301754992
0.271580376,0.349661788,0.30926059
0.293465884,0.384109275,0.31883599
0.309741563,0.409209919,0.331991186
0.322163239,0.453265498,0.345117914
0.332044,0.509057337,0.355454552
0.347602951,0.541397428,0.360450876
0.372916211,0.570329697,0.370255639
0.403305606,0.598347074,0.37606309
0.422146248,0.628722939,0.37909917
0.422108684,0.661783211,0.383891615
0.418385639,0.705692286,0.390621922
0.415070855,0.745275156,0.397355538
0.411365813,0.789359762,0.401591039
0.40771517,0.83431716,0.403364245
0.404852775,0.882733287,0.409918964
0.404494304,0.904249066,0.418774613
0.410798472,0.926353715,0.427099319
0.416251367,0.933473749,0.425614873
0.423593921,0.960637721,0.435458067
0.435499401,0.995193627,0.44471023
0.436301014,0.968405883,0.464985275
0.43591557,0.936524993,0.47676022
0.434187612,0.913040354,0.490927146
0.432550269,0.896122415,0.507235592
0.432062009,0.895506999,0.516383366
0.428629348,0.895729863,0.535616687
0.425647141,0.889497963,0.550369612
0.4267184,0.887047138,0.564029535
0.42979428,0.893421831,0.574913361
0.428449134,0.896369577,0.592300775
0.435526837,0.900730724,0.620635042
0.433576979,0.906378388,0.647392942
0.435065465,0.910922752,0.675540211
0.439998839,0.920757491,0.700681431
0.452170289,0.938379412,0.704458943
0.459264868,0.958614681,0.707632204
0.460152095,0.976370644,0.708671137
0.463575625,0.991543986,0.707639461
0.468095833,0.998184701,0.713792321
0.47171481,0.990445978,0.70982749
0.468312526,0.987726288,0.706908627
0.467872464,0.978975402,0.71042104
0.469162978,0.971362871,0.707828676
0.474313459,0.963058119,0.708995825
0.492138869,0.965342357,0.709263792
0.532764506,0.959700844,0.710142882
0.564060855,0.954606872,0.718310026
0.589704964,0.95300721,0.725874423
0.618163074,0.952992801,0.729551917
0.640801678,0.952574174,0.734644135
0.680984757,0.955784537,0.741071629
0.713523853,0.958917399,0.740225118
0.733339428,0.960018011,0.745867825
0.755405233,0.960292884,0.755087978
0.776878964,0.959319902,0.768341038
0.790874782,0.954029723,0.785421294
0.799147122,0.94765743,0.80892519
0.807099659,0.94101903,0.833715861
0.81504808,0.931528529,0.847012565
0.825569266,0.924127991,0.856785965
0.853354299,0.915137126,0.859051957
0.877206031,0.90451413,0.854466098
0.893144291,0.892534224,0.845200161
0.900743209,0.883418388,0.833509377
0.911089183,0.872251643,0.829781493
0.928130012,0.866792731,0.822634391
0.943336104,0.859972758,0.815022118
0.957647964,0.846074521,0.807221811
0.967905951,0.841568876,0.800482551
0.978796759,0.838105544,0.795793669
0.99108986,0.830720294,0.794479473
0.994618974,0.825097869,0.787870764
0.988051695,0.82163868,0.774812918
0.990626901,0.814199087,0.765380844
0.999633174,0.804970212,0.746302178
0.987861667,0.802961691,0.754443012
0.980587008,0.794865524,0.746451439
0.968104503,0.788115545,0.73176367
0.955406479,0.775507319,0.715942831
0.939072661,0.773286266,0.725486496
0.923747778,0.769694354,0.741015083
0.90581769,0.778278046,0.73903976
0.884619021,0.779787345,0.743201421
0.872435065,0.775336959,0.752654137
0.849311378,0.777459379,0.756890714
0.839659979,0.774249211,0.770415445
0.83472529,0.766946766,0.781715158
0.826215151,0.766677459,0.801210188
0.819926238,0.759390056,0.812833805
0.809780902,0.752830808,0.833204703
0.802560236,0.746244899,0.856783128
0.795326347,0.744565238,0.87370872
0.785390183,0.738488707,0.891795517
0.780463641,0.73764359,0.902747186
0.781529457,0.727860294,0.906691657
0.777880329,0.725125685,0.919294045
0.785861083,0.731451115,0.92426149
0.803890354,0.739638936,0.935271274
0.823324999,0.755366763,0.946606619
0.82233501,0.769737088,0.957087588
0.829518668,0.789231436,0.976213137
0.830964929,0.79098258,0.979547661
0.82448002,0.792675426,0.982256608
0.818171626,0.81031113,0.971575408
0.818133224,0.826418713,0.967950786
0.819728621,0.86422853,0.956493223
0.819027248,0.893507178,0.952130067
0.820354095,0.925249122,0.942860408
0.824798394,0.951347123,0.931807174
0.832135987,0.973766883,0.936927477
0.830353767,0.996800455,0.942483397
0.826685878,0.975057602,0.947086189
0.814830484,0.947925628,0.954859735
0.807278173,0.931674474,0.966537951
0.795978269,0.904572105,0.975098836
0.784735375,0.890790747,0.980345113
0.785676542,0.871912287,0.982982616
0.782942006,0.86181492,0.999544842
0.771975113,0.846757107,0.991530248
0.777465944,0.842188144,0.987280523
0.774363646,0.85103047,0.979472201
0.7799412,0.849785893,0.97410542
0.784897595,0.859471158,0.968407973
0.792665513,0.875735028,0.976907972
0.807486669,0.892344357,0.984118154
0.840041488,0.898663835,0.991106123
0.853877873,0.897182471,0.993609433
0.873883394,0.898719117,0.997132492
0.879799141,0.892126192,0.991641448
0.893302983,0.884513516,0.986311938
0.905973015,0.882468588,0.983358119
0.922217732,0.88237522,0.987280423
0.934732812,0.883230801,0.99182747
0.947201189,0.878161799,0.993377367
0.975009727,0.899920986,0.989877168
0.999191788,0.916065155,0.984987845
0.977711808,0.919499391,0.983452998
0.941510292,0.932114427,0.986242064
0.914156634,0.93762251,0.99227371
0.894460922,0.942639031,0.991164999
0.870793008,0.947203154,0.996174324
0.848106283,0.946318648,0.990337195
0.816782503,0.956267876,0.999211244
0.78337049,0.964471157,0.994371617
0.765766659,0.977500489,0.987191554
0.755354662,0.9885517,0.98977433
0.740654126,0.99906506,0.990701326
0.734088349,0.992652319,0.993123811
0.737625765,0.985673417,0.998651209
0.744092587,0.972206807,0.988454968
