Trial1,Trial2,Trial3
0.894735896,0.856082543,0.84358034
0.878772345,0.871863543,0.833806873
0.86276024,0.887804785,0.822325436
0.846710709,0.903898374,0.81466468
0.830631975,0.92013542,0.807339918
0.814530169,0.936506715,0.800275783
0.798409957,0.953003095,0.793152625
0.782275027,0.969615525,0.785805068
0.766128465,0.986334973,0.774784249
0.74997301,0.996847926,0.763559743
0.733811153,0.979943442,0.752133857
0.717645085,0.962963665,0.740358656
0.701476489,0.945893719,0.728082725
0.685313696,0.922774662,0.715633921
0.66914021,0.899102822,0.703101768
0.652964926,0.875518781,0.690505442
0.636786186,0.854267737,0.677663779
0.620602236,0.837110841,0.664651466
0.604412019,0.822760783,0.651761207
0.588215923,0.809949783,0.638693665
0.572016295,0.793080586,0.625483758
0.55581762,0.776067152,0.612157715
0.539626401,0.758937911,0.598739495
0.52345084,0.741716456,0.585232374
0.507300462,0.724421308,0.571485186
0.491185743,0.707067001,0.557728938
0.475117813,0.689665194,0.544303572
0.45910818,0.672225624,0.53092325
0.443168445,0.654757226,0.517517715
0.427309865,0.63727043,0.504148757
0.411542618,0.619784941,0.490821053
0.395874523,0.602721478,0.477464954
0.380308899,0.586084923,0.46407228
0.364840931,0.569520637,0.45064327
0.349450675,0.552951755,0.437179222
0.33408544,0.536359578,0.423679067
0.31890337,0.51974052,0.410554698
0.304674135,0.503095483,0.397692101
0.289707468,0.486427157,0.384879051
0.275892874,0.469739233,0.372065044
0.263374803,0.453159023,0.359239811
0.25045314,0.436717815,0.346403013
0.237767314,0.420294587,0.333556712
0.225907465,0.403863154,0.3207035
0.214434335,0.387420148,0.30784606
0.203218149,0.370967293,0.294987082
0.192256214,0.354506949,0.282129278
0.181538021,0.338040846,0.269275418
0.170989485,0.321569629,0.256428389
0.160473496,0.305093014,0.243591249
0.149958604,0.288612619,0.230767296
0.139492728,0.2721486,0.218024987
0.129260329,0.25581438,0.20530725
0.119742487,0.239972003,0.192617716
0.11221518,0.224883947,0.179960127
0.105158008,0.210706628,0.167338306
0.096405667,0.196782441,0.15475308
0.087101665,0.182952734,0.142246372
0.077402944,0.169183499,0.12977673
0.071472711,0.15547239,0.117349307
0.067194605,0.14182629,0.104970713
0.063372043,0.128257377,0.092975975
0.056216058,0.114786204,0.081804529
0.049400219,0.101454925,0.070915214
0.043070872,0.088757384,0.060207229
0.033287691,0.076577629,0.049678929
0.028736363,0.064616495,0.039359464
0.028566916,0.052775934,0.029289933
0.029151024,0.041048278,0.01951778
0.026626991,0.029406672,0.010106384
0.024570217,0.017874827,0.003769666
0.027537369,0.006509055,-0.003749326
0.028879314,-0.004597583,-0.011174004
0.028456282,-0.015521949,-0.018624488
0.028859581,-0.026442555,-0.026511283
0.0302118,-0.037380339,-0.034192453
0.031953476,-0.047809628,-0.041700388
0.033769733,-0.057819011,-0.049096865
0.035589864,-0.066678927,-0.056326869
0.037364666,-0.075098602,-0.063348706
0.039141775,-0.083330687,-0.070086408
0.041135319,-0.091423203,-0.076781607
0.04370595,-0.099357466,-0.083116631
0.047099027,-0.107082972,-0.088544738
0.050620767,-0.114055934,-0.092781775
0.05369092,-0.120300254,-0.096188471
0.05668669,-0.125951001,-0.09878486
0.059561082,-0.130892484,-0.100529504
0.062013504,-0.134966339,-0.101398933
0.064175493,-0.138210231,-0.101356018
0.06612309,-0.14094216,-0.099982137
0.068139194,-0.14354104,-0.095886856
0.070745849,-0.146052005,-0.088699199
0.076205141,-0.148258081,-0.080360433
0.083939097,-0.148985215,-0.072319356
0.09804043,-0.148517809,-0.06648038
0.107981608,-0.146706436,-0.059168479
0.117971904,-0.143831922,-0.04927512
0.129704079,-0.140391355,-0.033854419
0.148158426,-0.137491751,-0.015957324
0.168131265,-0.129780543,0.003216503
0.18974628,-0.125606134,0.026592319
0.212982252,-0.121506122,0.048692317
0.23616241,-0.115397977,0.073416506
0.255877472,-0.106491537,0.097750944
0.27405504,-0.094985236,0.121085012
0.292029178,-0.074838178,0.137808704
0.310546073,-0.059859215,0.156712262
0.326124608,-0.038367693,0.174468032
0.355211876,-0.025671214,0.199644365
0.386188272,-0.006093931,0.221301616
0.434882194,-0.002217618,0.246333017
0.470518247,0.011405589,0.278030122
0.500064047,0.019068006,0.306163702
0.523996859,0.029158537,0.331782783
0.537973904,0.041414776,0.352145279
0.547681702,0.054780064,0.374514714
0.556791192,0.069464333,0.390801193
0.573672094,0.086453023,0.405026336
0.590687282,0.103959911,0.420764509
0.607159606,0.121630512,0.434170613
0.620742627,0.13816171,0.451369398
0.638393489,0.155031309,0.470031333
0.664535007,0.173986645,0.485692641
0.676096618,0.198348897,0.495094337
0.68447688,0.224773741,0.505065353
0.691038851,0.252644542,0.509828345
0.700657616,0.275111424,0.52044231
0.710329687,0.296190386,0.530900757
0.715329434,0.313078441,0.541074592
0.707013623,0.331941216,0.551963443
0.717599521,0.355811354,0.559924325
0.727565108,0.37462347,0.563861233
0.729035717,0.388678937,0.567744746
0.724831199,0.401481069,0.569900975
0.719469092,0.411897824,0.57319315
0.713902163,0.423842913,0.580704916
0.709232419,0.436109497,0.587584432
0.704747999,0.447754488,0.586822688
0.701320401,0.457352393,0.586846664
0.695691521,0.466508107,0.587558357
0.690700837,0.47430534,0.59211571
0.68627648,0.482924294,0.594065317
0.683838848,0.491877272,0.603943756
0.684331574,0.500435359,0.618051676
0.680252984,0.512163597,0.617439238
0.6756253,0.52662002,0.616363651
0.670965058,0.538775743,0.619955698
0.667037096,0.553353847,0.636177252
0.663450621,0.567271834,0.649788389
0.661936486,0.582391168,0.65438694
0.659827071,0.59478766,0.65280976
0.656551307,0.60702233,0.6489411
0.654553966,0.616667807,0.657608119
0.65343221,0.624335833,0.658302722
0.653389273,0.631028666,0.656215601
0.663381591,0.63733768,0.650627316
0.663700833,0.642550772,0.646690931
0.663236962,0.653130498,0.644831936
0.671652785,0.663342096,0.643399642
0.679787683,0.673032967,0.642159436
0.680802525,0.686122739,0.638898298
0.681634511,0.6975383,0.63425548
0.682488111,0.705426875,0.629674636
0.683831918,0.707766262,0.62519127
0.684505437,0.709027428,0.620958896
0.67928122,0.70927668,0.626691778
0.671061764,0.71401301,0.630709988
0.678983509,0.719027336,0.647360768
0.693894237,0.720261399,0.661654997
0.699823766,0.72678666,0.666436789
0.700550982,0.729542961,0.676144015
0.703293073,0.731313345,0.686520241
0.698875474,0.728372344,0.692410741
0.694630617,0.725281527,0.705221812
0.689070877,0.722277803,0.714017373
0.68483862,0.719453364,0.727440494
0.680744504,0.716798866,0.740851097
0.679351606,0.715951279,0.745797953
0.679714815,0.714492234,0.747644799
0.673636429,0.712555463,0.743144705
0.664436545,0.721310702,0.747231134
0.656596854,0.727567316,0.758460469
0.64912123,0.733079616,0.77054669
0.646049144,0.733774233,0.772412797
0.643903671,0.739240659,0.772453321
0.642402787,0.738844522,0.770551778
0.640136214,0.741876858,0.769251136
0.639567768,0.745821324,0.768617638
0.639461885,0.746111208,0.780110992
0.635519518,0.748984353,0.789197915
0.626285443,0.750792423,0.789415588
0.623678695,0.74558253,0.784363829
0.621084214,0.739855949,0.785134032
0.619062493,0.734011526,0.788893341
0.620109485,0.731291788,0.784591437
0.615674458,0.728919876,0.78332164
0.613781778,0.726063496,0.781895011
0.614818198,0.722058861,0.779010409
0.612832905,0.717741363,0.775798878
0.612235059,0.712184452,0.772243918
0.617765919,0.705352717,0.769287508
0.621402134,0.698504248,0.766889428
0.61775635,0.691700046,0.76353788
0.620560949,0.684958373,0.758543403
0.625866126,0.678289568,0.753659191
0.635805577,0.671747913,0.749062291
0.647956109,0.665499948,0.741387389
0.656044566,0.656920983,0.739530327
0.658174447,0.652822812,0.738527932
0.652056126,0.651072203,0.737991556
0.641215411,0.654470931,0.73741145
0.63291522,0.65823006,0.732229518
0.624870032,0.663652863,0.727292887
0.619167799,0.669540801,0.719133372
0.612667786,0.672265473,0.71200094
0.610997416,0.670742454,0.705408609
0.614951863,0.67025803,0.701023183
0.621183849,0.671263063,0.695421132
0.632715952,0.665131764,0.691381262
0.649305991,0.659830839,0.685885839
0.661151735,0.655096768,0.680075804
0.676640167,0.655026855,0.665948265
0.695672464,0.655398887,0.658043423
0.720999267,0.664617856,0.646723942
0.750562603,0.684723076,0.639197409
0.763886942,0.707824889,0.632254656
0.778599418,0.724014254,0.62581808
0.794513924,0.742702711,0.620865542
0.812482258,0.762311051,0.614958201
0.843446796,0.784887409,0.609076956
0.862878317,0.803774943,0.606979965
0.885758708,0.823440002,0.603423694
0.906859449,0.838388876,0.606206031
0.941327535,0.846376372,0.604796638
0.97912627,0.850089202,0.605537496
0.999664819,0.851682182,0.60587211
0.975892306,0.852284141,0.603621441
0.958012047,0.856160206,0.602324542
0.936442329,0.858624899,0.603240669
0.904389499,0.853008124,0.607541826
0.894830753,0.847628483,0.601529537
0.885468033,0.841552597,0.603488198
0.875425431,0.838664178,0.618797386
0.873800192,0.830910821,0.631610971
0.873538565,0.818464524,0.638885546
0.871910954,0.818546966,0.64800853
0.871181641,0.812914982,0.665610917
0.868157491,0.812606615,0.682494174
0.876059977,0.813330364,0.700749204
0.878576263,0.808075838,0.718454696
0.87634927,0.801750085,0.738223461
0.876273975,0.793132298,0.764050037
0.876421022,0.789022082,0.7938038
0.87940167,0.785604504,0.824343274
0.872953272,0.785648532,0.861129324
0.875682785,0.788098816,0.902284104
0.879811441,0.788661096,0.934945803
0.880971683,0.78957777,0.960719872
0.877822803,0.797920639,0.985200364
0.874452529,0.802901985,0.987028694
0.875633544,0.804765905,0.955651754
0.868530501,0.807011402,0.935129803
0.871871552,0.813067619,0.911542738
0.881663931,0.824811482,0.892397656
0.879798874,0.835906941,0.882067318
0.885719851,0.846211403,0.873722337
0.894629872,0.848161261,0.876868557
0.904624347,0.8515788,0.876567308
0.914651126,0.862148627,0.875462839
0.926928923,0.86487673,0.87603332
0.941518942,0.867959613,0.877328917
0.953497924,0.870246277,0.88428594
0.964410664,0.873556323,0.887685824
0.971300535,0.880887065,0.885563069
0.977238485,0.880906063,0.893890876
0.986912487,0.891143427,0.905890271
0.993606556,0.900395157,0.91545407
0.999429487,0.903753314,0.92561061
0.989485307,0.902547526,0.932356138
0.972764447,0.904684702,0.939612224
0.96772027,0.91829815,0.950406998
0.96109155,0.91931844,0.961803485
0.956279773,0.917304244,0.964709829
0.95336239,0.910217016,0.971764775
0.959847877,0.908142188,0.98160362
0.961795499,0.916900526,0.99521359
0.962756109,0.927807031,0.99203807
0.951212783,0.935332807,0.982204646
0.944345283,0.940521281,0.973006092
0.945577863,0.932911083,0.963202606
0.936795511,0.926781315,0.9550182
0.922811368,0.919107604,0.94952816
0.912149991,0.906231481,0.947234266
0.907455042,0.900094839,0.945203704
0.911292984,0.902562599,0.954257853
0.921753655,0.906646063,0.965738335
0.940283491,0.907976226,0.967990395
0.933685758,0.911647973,0.971882442
0.933248018,0.909158093,0.973742802
0.93714376,0.913061893,0.966903457
0.931003185,0.918020412,0.960973951
0.923232321,0.925001898,0.954832403
0.914658065,0.940677387,0.94723278
0.911437422,0.957409939,0.939355272
0.90217964,0.968285112,0.93930721
0.8877165,0.978951806,0.940013031
0.889670241,0.997988961,0.941406446
0.891958856,0.982502613,0.947530376
0.892183405,0.965954184,0.948935871
0.893725954,0.957601498,0.954672814
0.890843891,0.957316334,0.956546586
0.894633517,0.960677926,0.952408458
0.897813951,0.966553147,0.956149653
0.904468678,0.976045864,0.956502513
0.909620235,0.965361781,0.955612708
0.911251196,0.954601623,0.955166175
0.904532982,0.956124885,0.955026747
0.9083041,0.948306607,0.958971039
0.907002124,0.940311807,0.960059594
0.907155757,0.940954578,0.950493061
0.90474162,0.94186105,0.951496153
0.909329717,0.937647212,0.953382921
0.926451219,0.94032441,0.948330244
0.936520046,0.950132325,0.950197012
0.948310569,0.960590119,0.946498323
0.950547775,0.968843319,0.948523538
0.959947906,0.974129626,0.949300434
0.974540237,0.976155951,0.951892331
0.989902924,0.98390925,0.948941717
0.998615076,0.992045587,0.941726441
0.978321221,0.999747821,0.932374906
0.950158385,0.988874456,0.921044375
0.928987725,0.977247806,0.905374906
0.922326793,0.972438716,0.893605095
0.915969109,0.970435448,0.886045913
0.910635195,0.975481142,0.871999901
0.907130778,0.977564683,0.853163675
0.905860402,0.983797423,0.842637213
0.907774758,0.998667121,0.828409456
0.900320222,0.987306421,0.825018928
0.904615951,0.969519045,0.816664114
0.905836816,0.964278733,0.812663542
0.902493042,0.965609683,0.808392927
0.900627443,0.974869031,0.793146456
0.897092783,0.979884883,0.781931524
0.904237026,0.989564101,0.788072571
0.907619687,0.997481803,0.781894168
0.912355595,0.992560865,0.756881447
0.919027786,0.985228547,0.742722097
0.928038367,0.987381536,0.737090376
0.929087094,0.986895336,0.727350655
0.925874846,0.982990312,0.724914397
0.925785343,0.978123337,0.733407936
0.922791441,0.974690285,0.744718618
0.926676607,0.97788333,0.760648749
